shap,pred,weights
-0.08202330546429783,0.036886334,200
-0.05043755517387561,0.03489178,400
-0.05043755517387561,0.03489178,400
-0.05528050778653647,0.041884758,400
-0.05528050778653647,0.041884758,400
-0.05500247951212309,0.047997492999999995,200
-0.06785286913766525,0.05129426,1000
-0.06785286913766525,0.05129426,1000
-0.06785286913766525,0.05129426,1000
-0.06785286913766525,0.05129426,1000
-0.06785286913766525,0.05129426,1000
-0.07179810224592757,0.055332284,800
-0.07179810224592757,0.055332284,800
-0.07179810224592757,0.055332284,800
-0.07179810224592757,0.055332284,800
-0.05070474649445054,0.05590631,2200
-0.05070474649445054,0.05590631,2200
-0.05070474649445054,0.061916415,2200
-0.054052237422037866,0.06637159,2200
-0.09650421047195458,0.07757013,2200
-0.09650421047195458,0.07757013,2200
-0.09650421047195458,0.07757013,2200
-0.09650421047195458,0.07757013,2200
-0.059641347925036524,0.07342158,2200
-0.05764072134391503,0.07990158,2200
-0.05070474649445054,0.079341225,2200
-0.05070474649445054,0.079341225,200
-0.067203685057767,0.08579058,800
-0.03944526509671895,0.08199425,800
-0.03944526509671895,0.08199425,800
-0.03944526509671895,0.08199425,800
-0.03944526509671895,0.08199425,200
-0.03944526509671895,0.08199425,200
-0.03944526509671895,0.08199425,200
-0.03944526509671895,0.08199425,1400
-0.05070474649445054,0.084163636,1400
-0.06062084139906392,0.087111674,1400
-0.056527676223953785,0.08813722,1400
-0.056527676223953785,0.08813722,1400
-0.056527676223953785,0.08813722,1400
-0.056527676223953785,0.08813722,1400
-0.056527676223953785,0.08813722,200
-0.056527676223953785,0.08813722,1600
-0.056527676223953785,0.08813722,1600
-0.056527676223953785,0.08813722,1600
-0.09501210017361338,0.10296616,1600
-0.004225780160482764,0.09081922,1600
-0.004225780160482764,0.09081922,1600
-0.09890639189332777,0.10586678,1600
-0.09890639189332777,0.10586678,1600
-0.09890639189332777,0.10586678,200
-0.09890639189332777,0.10586678,400
-0.09890639189332777,0.10586678,400
-0.09890639189332777,0.10586678,1600
-0.09890639189332777,0.10586678,1600
-0.09890639189332777,0.10586678,1600
-0.05070474649445054,0.09707327,1600
-0.05070474649445054,0.09707327,1600
-0.05070474649445054,0.09707327,1600
-0.05067676120443282,0.10641063,1600
-0.05067676120443282,0.10641063,1600
-0.0506780432734034,0.10693901,400
-0.0506780432734034,0.10693901,400
-0.0506780432734034,0.10693901,800
-0.0506780432734034,0.10693901,800
-0.057195696633310734,0.11449641,800
-0.057195696633310734,0.11449641,800
-0.057195696633310734,0.11449641,1200
-0.057195696633310734,0.11449641,1200
-0.057195696633310734,0.11449641,1200
-0.057195696633310734,0.11449641,1200
-0.06720214933858493,0.11806584,1200
-0.0847684689644905,0.12458541,1200
-0.0847684689644905,0.12458541,200
-0.0847684689644905,0.12458541,1200
-0.0847684689644905,0.12458541,1200
-0.0847684689644905,0.12458541,1200
-0.0847684689644905,0.12458541,1200
-0.056121403452561364,0.11932160000000001,1200
-0.07111268708126213,0.12394123,1200
-0.07111268708126213,0.12394123,200
-0.036501770962075325,0.12246352,400
-0.036501770962075325,0.12246352,400
-0.036501770962075325,0.12246352,800
-0.036501770962075325,0.12246352,800
-0.06603615626786169,0.12794581,800
-0.04308521638621825,0.12553968,800
-0.06723392564602618,0.13315146,200
-0.04308521638621825,0.13266647,1000
-0.04308521638621825,0.13266647,1000
-0.04308521638621825,0.13266647,1000
-0.04308521638621825,0.13266647,1000
-0.06723392564602618,0.14010887,1000
-0.05070474649445054,0.13962764,600
-0.05070474649445054,0.13962764,600
-0.09375953939558647,0.15106283,600
-0.09375953939558647,0.15106283,800
-0.09375953939558647,0.15106283,800
-0.09375953939558647,0.15106283,800
-0.09440381580729357,0.1524463,800
-0.09440381580729357,0.1524463,1000
-0.09440381580729357,0.1524463,1000
-0.09440381580729357,0.1524463,1000
-0.09440381580729357,0.1524463,1000
-0.08883579960096663,0.15475895,1000
-0.08883579960096663,0.15475895,1400
-0.08883579960096663,0.15475895,1400
-0.08883579960096663,0.15475895,1400
-0.08883579960096663,0.15475895,1400
-0.08883579960096663,0.15475895,1400
-0.08883579960096663,0.15475895,1400
-0.0605594055549999,0.14885227,1400
-0.0605594055549999,0.14885227,400
-0.04305068351895699,0.14726186,400
-0.04305068351895699,0.14726186,600
-0.04305068351895699,0.14726186,600
-0.0804342643997739,0.15598483,600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.0804342643997739,0.15598483,2600
-0.04125882754627597,0.14888182,2600
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.04125882754627597,0.14888182,2000
-0.055529972332473705,0.1526936,2000
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.055529972332473705,0.1526936,7800
-0.0697824918171275,0.15869403,7800
-0.0697824918171275,0.15869403,3200
