shap,pred,weights
-0.051149165462437536,0.3333482,600
-0.055529972332473705,0.1526936,600
-0.031311891828361894,0.48114848,600
-0.04806173231619965,0.65153635,1800
-0.01567756267489459,0.8097321999999999,1800
-0.05406349659337222,0.32113359999999996,1800
-0.05207532532544668,0.49030393,1800
-0.06867016545153311,0.56032526,1800
-0.005743633152578725,0.7451774,1800
-0.02062763596569388,0.34721199999999997,1800
-0.047800546021397335,0.49197578,1800
-0.05207532532544668,0.49030393,1800
-0.04308521638621825,0.13266647,400
-0.04162161645927456,0.7116737,400
-0.03374840275303504,0.65509874,1400
-0.05067676120443282,0.10641063,1400
-0.06705542730528963,0.28192955,1400
-0.05723438225072255,0.26917404,1400
-0.01246747750196637,0.81474996,1400
-0.06037185513007305,0.3432498,1400
-0.05207532532544668,0.49030393,1400
-0.04316349238661424,0.62091845,200
-0.0639393651363795,0.3929399,400
-0.04316349238661424,0.62091845,400
-0.047800546021397335,0.49197578,2800
-0.06037185513007305,0.3432498,2800
-0.047800546021397335,0.49197578,2800
-0.05207532532544668,0.49030393,2800
-0.047716104142183,0.34410354,2800
-0.047800546021397335,0.49197578,2800
-0.047800546021397335,0.49197578,2800
0.007486354648469506,0.23639092,2800
-0.01246747750196637,0.81474996,2800
-0.08357377898589337,0.45391437,2800
-0.047800546021397335,0.49197578,2800
-0.09650421047195458,0.07757013,2800
-0.0450286435512704,0.15661035,2800
-0.05683210336020214,0.6135398,2800
-0.04162161645927456,0.7116737,800
-0.05207532532544668,0.49030393,800
-0.09890639189332777,0.10586678,800
-0.0450286435512704,0.15661035,800
-0.05079037013496071,0.435576,600
-0.051149165462437536,0.3333482,600
-0.0450286435512704,0.15661035,600
-0.04162161645927456,0.7116737,400
-0.055529972332473705,0.1526936,400
-0.13497998336548406,0.3719821,3000
-0.00536004535910246,0.7322246,3000
-0.04162161645927456,0.7116737,3000
-0.05207532532544668,0.49030393,3000
-0.047800546021397335,0.49197578,3000
-0.09650421047195458,0.07757013,3000
-0.09864527492352422,0.45395735,3000
-0.047800546021397335,0.49197578,3000
-0.0639393651363795,0.3929399,3000
-0.007140831471785447,0.6103498,3000
-0.05079037013496071,0.435576,3000
-0.05683210336020214,0.6135398,3000
-0.055529972332473705,0.1526936,3000
-0.05683210336020214,0.6135398,3000
-0.0450286435512704,0.15661035,3000
-0.06768964020400242,0.19297004,200
-0.06169832897635424,0.26748088,2600
-0.07196226406536213,0.64411634,2600
0.007486354648469506,0.23639092,2600
-0.06768964020400242,0.19297004,2600
-0.05683210336020214,0.6135398,2600
-0.047716104142183,0.34410354,2600
-0.043388059296856483,0.6325009,2600
-0.05014578234845106,0.8239101000000001,2600
-0.042239601789953465,0.49956766,2600
-0.06984441257737306,0.37390906,2600
-0.06169832897635424,0.26748088,2600
-0.05683210336020214,0.6135398,2600
-0.0697824918171275,0.15869403,2600
-0.08357377898589337,0.45391437,400
-0.07108617316605778,0.3065987,400
-0.05683210336020214,0.6135398,200
-0.06323948013490915,0.23210713,200
-0.04316349238661424,0.62091845,1200
